,Unnamed: 0,Survived,Pclass,Sex,SibSp,Parch,Embarked,Initial,Initial_test,Age_band,Family_Size,Alone,Fare_cat
0,0,0,3,male,1,0,0,0,Mr,1,1,0,0
1,1,1,1,female,1,0,1,1,Mrs,2,1,0,3
2,2,1,3,female,0,0,0,2,Miss,1,0,1,1
3,3,1,1,female,1,0,0,1,Mrs,2,1,0,3
4,4,0,3,male,0,0,0,0,Mr,2,0,1,1
5,5,0,3,male,0,0,2,0,Mr,2,0,1,1
6,6,0,1,male,0,0,0,0,Mr,3,0,1,3
7,7,0,3,male,3,1,0,3,Master,0,4,0,2
8,8,1,3,female,0,2,0,1,Mrs,1,2,0,1
9,9,1,2,female,1,0,1,1,Mrs,0,1,0,2
10,10,1,3,female,1,1,0,2,Miss,0,2,0,2
11,11,1,1,female,0,0,0,2,Miss,3,0,1,2
12,12,0,3,male,0,0,0,0,Mr,1,0,1,1
13,13,0,3,male,1,5,0,0,Mr,2,6,0,3
14,14,0,3,female,0,0,0,2,Miss,0,0,1,0
15,15,1,2,female,0,0,0,1,Mrs,3,0,1,2
16,16,0,3,male,4,1,2,3,Master,0,5,0,2
17,17,1,2,male,0,0,0,0,Mr,2,0,1,1
18,18,0,3,female,1,0,0,1,Mrs,1,1,0,2
19,19,1,3,female,0,0,1,1,Mrs,2,0,1,0
20,20,0,2,male,0,0,0,0,Mr,2,0,1,2
21,21,1,2,male,0,0,0,0,Mr,2,0,1,1
22,22,1,3,female,0,0,2,2,Miss,0,0,1,1
23,23,1,1,male,0,0,0,0,Mr,1,0,1,3
24,24,0,3,female,3,1,0,2,Miss,0,4,0,2
25,25,1,3,female,1,5,0,1,Mrs,2,6,0,3
26,26,0,3,male,0,0,1,0,Mr,2,0,1,0
27,27,0,1,male,3,2,0,0,Mr,1,5,0,3
28,28,1,3,female,0,0,2,2,Miss,1,0,1,0
29,29,0,3,male,0,0,0,0,Mr,2,0,1,0
30,30,0,1,male,0,0,1,0,Don,2,0,1,2
31,31,1,1,female,1,0,1,1,Mrs,2,1,0,3
32,32,1,3,female,0,0,2,2,Miss,1,0,1,0
33,33,0,2,male,0,0,0,0,Mr,4,0,1,1
34,34,0,1,male,1,0,1,0,Mr,1,1,0,3
35,35,0,1,male,1,0,0,0,Mr,2,1,0,3
36,36,1,3,male,0,0,1,0,Mr,2,0,1,0
37,37,0,3,male,0,0,0,0,Mr,1,0,1,1
38,38,0,3,female,2,0,0,2,Miss,1,2,0,2
39,39,1,3,female,1,0,1,2,Miss,0,1,0,1
40,40,0,3,female,1,0,0,1,Mrs,2,1,0,1
41,41,0,2,female,1,0,0,1,Mrs,1,1,0,2
42,42,0,3,male,0,0,1,0,Mr,2,0,1,0
43,43,1,2,female,1,2,1,2,Miss,0,3,0,3
44,44,1,3,female,0,0,2,2,Miss,1,0,1,0
45,45,0,3,male,0,0,0,0,Mr,2,0,1,1
46,46,0,3,male,1,0,2,0,Mr,2,1,0,2
47,47,1,3,female,0,0,2,2,Miss,1,0,1,0
48,48,0,3,male,2,0,1,0,Mr,2,2,0,2
49,49,0,3,female,1,0,0,1,Mrs,1,1,0,2
50,50,0,3,male,4,1,0,3,Master,0,5,0,3
51,51,0,3,male,0,0,0,0,Mr,1,0,1,0
52,52,1,1,female,1,0,1,1,Mrs,3,1,0,3
53,53,1,2,female,1,0,0,1,Mrs,1,1,0,2
54,54,0,1,male,0,1,1,0,Mr,4,1,0,3
55,55,1,1,male,0,0,0,0,Mr,2,0,1,3
56,56,1,2,female,0,0,0,2,Miss,1,0,1,1
57,57,0,3,male,0,0,1,0,Mr,1,0,1,0
58,58,1,2,female,1,2,0,2,Miss,0,3,0,2
59,59,0,3,male,5,2,0,3,Master,0,7,0,3
60,60,0,3,male,0,0,1,0,Mr,1,0,1,0
61,61,1,1,female,0,0,0,2,Miss,2,0,1,3
62,62,0,1,male,1,0,0,0,Mr,2,1,0,3
63,63,0,3,male,3,2,0,3,Master,0,5,0,2
64,64,0,1,male,0,0,1,0,Mr,2,0,1,2
65,65,1,3,male,1,1,1,3,Master,0,2,0,2
66,66,1,2,female,0,0,0,1,Mrs,1,0,1,1
67,67,0,3,male,0,0,0,0,Mr,1,0,1,1
68,68,1,3,female,4,2,0,2,Miss,1,6,0,1
69,69,0,3,male,2,0,0,0,Mr,1,2,0,1
70,70,0,2,male,0,0,0,0,Mr,1,0,1,1
71,71,0,3,female,5,2,0,2,Miss,0,7,0,3
72,72,0,2,male,0,0,0,0,Mr,1,0,1,3
73,73,0,3,male,1,0,1,0,Mr,1,1,0,2
74,74,1,3,male,0,0,0,0,Mr,1,0,1,3
75,75,0,3,male,0,0,0,0,Mr,1,0,1,0
76,76,0,3,male,0,0,0,0,Mr,2,0,1,0
77,77,0,3,male,0,0,0,0,Mr,2,0,1,1
78,78,1,2,male,0,2,0,3,Master,0,2,0,2
79,79,1,3,female,0,0,0,2,Miss,1,0,1,1
80,80,0,3,male,0,0,0,0,Mr,1,0,1,1
81,81,1,3,male,0,0,0,0,Mr,1,0,1,1
82,82,1,3,female,0,0,2,2,Miss,1,0,1,0
83,83,0,1,male,0,0,0,0,Mr,1,0,1,3
84,84,1,2,female,0,0,0,2,Miss,1,0,1,1
85,85,1,3,female,3,0,0,1,Mrs,2,3,0,2
86,86,0,3,male,1,3,0,0,Mr,0,4,0,3
87,87,0,3,male,0,0,0,0,Mr,2,0,1,1
88,88,1,1,female,3,2,0,2,Miss,1,5,0,3
89,89,0,3,male,0,0,0,0,Mr,1,0,1,1
90,90,0,3,male,0,0,0,0,Mr,1,0,1,1
91,91,0,3,male,0,0,0,0,Mr,1,0,1,0
92,92,0,1,male,1,0,0,0,Mr,2,1,0,3
93,93,0,3,male,1,2,0,0,Mr,1,3,0,2
94,94,0,3,male,0,0,0,0,Mr,3,0,1,0
95,95,0,3,male,0,0,0,0,Mr,2,0,1,1
96,96,0,1,male,0,0,1,0,Mr,4,0,1,3
97,97,1,1,male,0,1,1,0,Mr,1,1,0,3
98,98,1,2,female,0,1,0,1,Mrs,2,1,0,2
99,99,0,2,male,1,0,0,0,Mr,2,1,0,2
100,100,0,3,female,0,0,0,2,Miss,1,0,1,0
101,101,0,3,male,0,0,0,0,Mr,2,0,1,0
102,102,0,1,male,0,1,0,0,Mr,1,1,0,3
103,103,0,3,male,0,0,0,0,Mr,2,0,1,1
104,104,0,3,male,2,0,0,0,Mr,2,2,0,1
105,105,0,3,male,0,0,0,0,Mr,1,0,1,0
106,106,1,3,female,0,0,0,2,Miss,1,0,1,0
107,107,1,3,male,0,0,0,0,Mr,2,0,1,0
108,108,0,3,male,0,0,0,0,Mr,2,0,1,0
109,109,1,3,female,1,0,2,2,Miss,1,1,0,2
110,110,0,1,male,0,0,0,0,Mr,2,0,1,3
111,111,0,3,female,1,0,1,2,Miss,0,1,0,2
112,112,0,3,male,0,0,0,0,Mr,1,0,1,1
113,113,0,3,female,1,0,0,2,Miss,1,1,0,1
114,114,0,3,female,0,0,1,2,Miss,1,0,1,2
115,115,0,3,male,0,0,0,0,Mr,1,0,1,1
116,116,0,3,male,0,0,2,0,Mr,4,0,1,0
117,117,0,2,male,1,0,0,0,Mr,1,1,0,2
118,118,0,1,male,0,1,1,0,Mr,1,1,0,3
119,119,0,3,female,4,2,0,2,Miss,0,6,0,3
120,120,0,2,male,2,0,0,0,Mr,1,2,0,3
121,121,0,3,male,0,0,0,0,Mr,2,0,1,1
122,122,0,2,male,1,0,1,0,Mr,2,1,0,2
123,123,1,2,female,0,0,0,2,Miss,2,0,1,1
124,124,0,1,male,0,1,0,0,Mr,3,1,0,3
125,125,1,3,male,1,0,1,3,Master,0,1,0,1
126,126,0,3,male,0,0,2,0,Mr,2,0,1,0
127,127,1,3,male,0,0,0,0,Mr,1,0,1,0
128,128,1,3,female,1,1,1,2,Miss,1,2,0,2
129,129,0,3,male,0,0,0,0,Mr,2,0,1,0
130,130,0,3,male,0,0,1,0,Mr,2,0,1,0
131,131,0,3,male,0,0,0,0,Mr,1,0,1,0
132,132,0,3,female,1,0,0,1,Mrs,2,1,0,2
133,133,1,2,female,1,0,0,1,Mrs,1,1,0,2
134,134,0,2,male,0,0,0,0,Mr,1,0,1,1
135,135,0,2,male,0,0,1,0,Mr,1,0,1,2
136,136,1,1,female,0,2,0,2,Miss,1,2,0,2
137,137,0,1,male,1,0,0,0,Mr,2,1,0,3
138,138,0,3,male,0,0,0,0,Mr,0,0,1,1
139,139,0,1,male,0,0,1,0,Mr,1,0,1,3
140,140,0,3,female,0,2,1,1,Mrs,2,2,0,2
141,141,1,3,female,0,0,0,2,Miss,1,0,1,0
142,142,1,3,female,1,0,0,1,Mrs,1,1,0,2
143,143,0,3,male,0,0,2,0,Mr,1,0,1,0
144,144,0,2,male,0,0,0,0,Mr,1,0,1,1
145,145,0,2,male,1,1,0,0,Mr,1,2,0,3
146,146,1,3,male,0,0,0,0,Mr,1,0,1,0
147,147,0,3,female,2,2,0,2,Miss,0,4,0,3
148,148,0,2,male,0,2,0,0,Mr,2,2,0,2
149,149,0,2,male,0,0,0,4,Rev,2,0,1,1
150,150,0,2,male,0,0,0,4,Rev,3,0,1,1
151,151,1,1,female,1,0,0,1,Mrs,1,1,0,3
152,152,0,3,male,0,0,0,0,Mr,3,0,1,1
153,153,0,3,male,0,2,0,0,Mr,2,2,0,2
154,154,0,3,male,0,0,0,0,Mr,2,0,1,0
155,155,0,1,male,0,1,1,0,Mr,3,1,0,3
156,156,1,3,female,0,0,2,2,Miss,0,0,1,0
157,157,0,3,male,0,0,0,0,Mr,1,0,1,1
158,158,0,3,male,0,0,0,0,Mr,2,0,1,1
159,159,0,3,male,8,2,0,3,Master,0,10,0,3
160,160,0,3,male,0,1,0,0,Mr,2,1,0,2
161,161,1,2,female,0,0,0,1,Mrs,2,0,1,2
162,162,0,3,male,0,0,0,0,Mr,1,0,1,0
163,163,0,3,male,0,0,0,0,Mr,1,0,1,1
164,164,0,3,male,4,1,0,3,Master,0,5,0,3
165,165,1,3,male,0,2,0,3,Master,0,2,0,2
166,166,1,1,female,0,1,0,1,Mrs,2,1,0,3
167,167,0,3,female,1,4,0,1,Mrs,2,5,0,2
168,168,0,1,male,0,0,0,0,Mr,2,0,1,2
169,169,0,3,male,0,0,0,0,Mr,1,0,1,3
170,170,0,1,male,0,0,0,0,Mr,3,0,1,3
171,171,0,3,male,4,1,2,3,Master,0,5,0,2
172,172,1,3,female,1,1,0,2,Miss,0,2,0,1
173,173,0,3,male,0,0,0,0,Mr,1,0,1,1
174,174,0,1,male,0,0,1,0,Mr,3,0,1,2
175,175,0,3,male,1,1,0,0,Mr,1,2,0,0
176,176,0,3,male,3,1,0,3,Master,0,4,0,2
177,177,0,1,female,0,0,1,2,Miss,3,0,1,2
178,178,0,2,male,0,0,0,0,Mr,1,0,1,1
179,179,0,3,male,0,0,0,0,Mr,2,0,1,0
180,180,0,3,female,8,2,0,2,Miss,1,10,0,3
181,181,0,2,male,0,0,1,0,Mr,2,0,1,2
182,182,0,3,male,4,2,0,3,Master,0,6,0,3
183,183,1,2,male,2,1,0,3,Master,0,3,0,3
184,184,1,3,female,0,2,0,2,Miss,0,2,0,2
185,185,0,1,male,0,0,0,0,Mr,2,0,1,3
186,186,1,3,female,1,0,2,1,Mrs,2,1,0,2
187,187,1,1,male,0,0,0,0,Mr,2,0,1,2
188,188,0,3,male,1,1,2,0,Mr,2,2,0,2
189,189,0,3,male,0,0,0,0,Mr,2,0,1,0
190,190,1,2,female,0,0,0,1,Mrs,1,0,1,1
191,191,0,2,male,0,0,0,0,Mr,1,0,1,1
192,192,1,3,female,1,0,0,2,Miss,1,1,0,0
193,193,1,2,male,1,1,0,3,Master,0,2,0,2
194,194,1,1,female,0,0,1,1,Mrs,2,0,1,2
195,195,1,1,female,0,0,1,2,Miss,3,0,1,3
196,196,0,3,male,0,0,2,0,Mr,2,0,1,0
197,197,0,3,male,0,1,0,0,Mr,2,1,0,1
198,198,1,3,female,0,0,2,2,Miss,1,0,1,0
199,199,0,2,female,0,0,0,2,Miss,1,0,1,1
200,200,0,3,male,0,0,0,0,Mr,1,0,1,1
201,201,0,3,male,8,2,0,0,Mr,2,10,0,3
202,202,0,3,male,0,0,0,0,Mr,2,0,1,0
203,203,0,3,male,0,0,1,0,Mr,2,0,1,0
204,204,1,3,male,0,0,0,0,Mr,1,0,1,1
205,205,0,3,female,0,1,0,2,Miss,0,1,0,1
206,206,0,3,male,1,0,0,0,Mr,1,1,0,2
207,207,1,3,male,0,0,1,0,Mr,1,0,1,2
208,208,1,3,female,0,0,2,2,Miss,0,0,1,0
209,209,1,1,male,0,0,1,0,Mr,2,0,1,2
210,210,0,3,male,0,0,0,0,Mr,1,0,1,0
211,211,1,2,female,0,0,0,2,Miss,2,0,1,2
212,212,0,3,male,0,0,0,0,Mr,1,0,1,0
213,213,0,2,male,0,0,0,0,Mr,1,0,1,1
214,214,0,3,male,1,0,2,0,Mr,2,1,0,0
215,215,1,1,female,1,0,1,2,Miss,1,1,0,3
216,216,1,3,female,0,0,0,2,Miss,1,0,1,1
217,217,0,2,male,1,0,0,0,Mr,2,1,0,2
218,218,1,1,female,0,0,1,2,Miss,1,0,1,3
219,219,0,2,male,0,0,0,0,Mr,1,0,1,1
220,220,1,3,male,0,0,0,0,Mr,0,0,1,1
221,221,0,2,male,0,0,0,0,Mr,1,0,1,1
222,222,0,3,male,0,0,0,0,Mr,3,0,1,1
223,223,0,3,male,0,0,0,0,Mr,2,0,1,0
224,224,1,1,male,1,0,0,0,Mr,2,1,0,3
225,225,0,3,male,0,0,0,0,Mr,1,0,1,1
226,226,1,2,male,0,0,0,0,Mr,1,0,1,1
227,227,0,3,male,0,0,0,0,Mr,1,0,1,0
228,228,0,2,male,0,0,0,0,Mr,1,0,1,1
229,229,0,3,female,3,1,0,2,Miss,1,4,0,2
230,230,1,1,female,1,0,0,1,Mrs,2,1,0,3
231,231,0,3,male,0,0,0,0,Mr,1,0,1,0
232,232,0,2,male,0,0,0,0,Mr,3,0,1,1
233,233,1,3,female,4,2,0,2,Miss,0,6,0,3
234,234,0,2,male,0,0,0,0,Mr,1,0,1,1
235,235,0,3,female,0,0,0,2,Miss,1,0,1,0
236,236,0,2,male,1,0,0,0,Mr,2,1,0,2
237,237,1,2,female,0,2,0,2,Miss,0,2,0,2
238,238,0,2,male,0,0,0,0,Mr,1,0,1,1
239,239,0,2,male,0,0,0,0,Mr,2,0,1,1
240,240,0,3,female,1,0,1,2,Miss,1,1,0,2
241,241,1,3,female,1,0,2,2,Miss,1,1,0,2
242,242,0,2,male,0,0,0,0,Mr,1,0,1,1
243,243,0,3,male,0,0,0,0,Mr,1,0,1,0
244,244,0,3,male,0,0,1,0,Mr,1,0,1,0
245,245,0,1,male,2,0,2,0,Dr,2,2,0,3
246,246,0,3,female,0,0,0,2,Miss,1,0,1,0
247,247,1,2,female,0,2,0,1,Mrs,1,2,0,2
248,248,1,1,male,1,1,0,0,Mr,2,2,0,3
249,249,0,2,male,1,0,0,4,Rev,3,1,0,2
250,250,0,3,male,0,0,0,0,Mr,2,0,1,0
251,251,0,3,female,1,1,0,1,Mrs,1,2,0,1
252,252,0,1,male,0,0,0,0,Mr,3,0,1,2
253,253,0,3,male,1,0,0,0,Mr,1,1,0,2
254,254,0,3,female,0,2,0,1,Mrs,2,2,0,2
255,255,1,3,female,0,2,1,1,Mrs,1,2,0,2
256,256,1,1,female,0,0,1,1,Mrs,2,0,1,3
257,257,1,1,female,0,0,0,2,Miss,1,0,1,3
258,258,1,1,female,0,0,1,2,Miss,2,0,1,0
259,259,1,2,female,0,1,0,1,Mrs,3,1,0,2
260,260,0,3,male,0,0,2,0,Mr,2,0,1,0
261,261,1,3,male,4,2,0,3,Master,0,6,0,3
262,262,0,1,male,1,1,0,0,Mr,3,2,0,3
263,263,0,1,male,0,0,0,0,Mr,2,0,1,0
264,264,0,3,female,0,0,2,2,Miss,1,0,1,0
265,265,0,2,male,0,0,0,0,Mr,2,0,1,1
266,266,0,3,male,4,1,0,0,Mr,0,5,0,3
267,267,1,3,male,1,0,0,0,Mr,1,1,0,0
268,268,1,1,female,0,1,0,1,Mrs,3,1,0,3
269,269,1,1,female,0,0,0,2,Miss,2,0,1,3
270,270,0,1,male,0,0,0,0,Mr,2,0,1,2
271,271,1,3,male,0,0,0,0,Mr,1,0,1,0
272,272,1,2,female,0,1,0,1,Mrs,2,1,0,2
273,273,0,1,male,0,1,1,0,Mr,2,1,0,2
274,274,1,3,female,0,0,2,2,Miss,1,0,1,0
275,275,1,1,female,1,0,0,2,Miss,3,1,0,3
276,276,0,3,female,0,0,0,2,Miss,2,0,1,0
277,277,0,2,male,0,0,0,0,Mr,2,0,1,0
278,278,0,3,male,4,1,2,3,Master,0,5,0,2
279,279,1,3,female,1,1,0,1,Mrs,2,2,0,2
280,280,0,3,male,0,0,2,0,Mr,4,0,1,0
281,281,0,3,male,0,0,0,0,Mr,1,0,1,0
282,282,0,3,male,0,0,0,0,Mr,0,0,1,1
283,283,1,3,male,0,0,0,0,Mr,1,0,1,1
284,284,0,1,male,0,0,0,0,Mr,2,0,1,2
285,285,0,3,male,0,0,1,0,Mr,2,0,1,1
286,286,1,3,male,0,0,0,0,Mr,1,0,1,1
287,287,0,3,male,0,0,0,0,Mr,1,0,1,0
288,288,1,2,male,0,0,0,0,Mr,2,0,1,1
289,289,1,3,female,0,0,2,2,Miss,1,0,1,0
290,290,1,1,female,0,0,0,2,Miss,1,0,1,3
291,291,1,1,female,1,0,1,1,Mrs,1,1,0,3
292,292,0,2,male,0,0,1,0,Mr,2,0,1,1
293,293,0,3,female,0,0,0,2,Miss,1,0,1,1
294,294,0,3,male,0,0,0,0,Mr,1,0,1,0
295,295,0,1,male,0,0,1,0,Mr,2,0,1,2
296,296,0,3,male,0,0,1,0,Mr,1,0,1,0
297,297,0,1,female,1,2,0,2,Miss,0,3,0,3
