,Survived,Age,SibSp,Parch,Fare,Sex_male,Embark_Q,Embark_S,Pclass_2,Pclass_3
0,0,22.0,1,0,7.25,1,0,1,0,1
1,1,38.0,1,0,71.2833,0,0,0,0,0
2,1,26.0,0,0,7.925,0,0,1,0,1
3,1,35.0,1,0,53.1,0,0,1,0,0
4,0,35.0,0,0,8.05,1,0,1,0,1
6,0,54.0,0,0,51.8625,1,0,1,0,0
7,0,2.0,3,1,21.075,1,0,1,0,1
8,1,27.0,0,2,11.1333,0,0,1,0,1
9,1,14.0,1,0,30.0708,0,0,0,1,0
10,1,4.0,1,1,16.7,0,0,1,0,1
11,1,58.0,0,0,26.55,0,0,1,0,0
12,0,20.0,0,0,8.05,1,0,1,0,1
13,0,39.0,1,5,31.275,1,0,1,0,1
14,0,14.0,0,0,7.8542,0,0,1,0,1
15,1,55.0,0,0,16.0,0,0,1,1,0
16,0,2.0,4,1,29.125,1,1,0,0,1
18,0,31.0,1,0,18.0,0,0,1,0,1
20,0,35.0,0,0,26.0,1,0,1,1,0
21,1,34.0,0,0,13.0,1,0,1,1,0
22,1,15.0,0,0,8.0292,0,1,0,0,1
23,1,28.0,0,0,35.5,1,0,1,0,0
24,0,8.0,3,1,21.075,0,0,1,0,1
25,1,38.0,1,5,31.3875,0,0,1,0,1
27,0,19.0,3,2,263.0,1,0,1,0,0
30,0,40.0,0,0,27.7208,1,0,0,0,0
33,0,66.0,0,0,10.5,1,0,1,1,0
34,0,28.0,1,0,82.1708,1,0,0,0,0
35,0,42.0,1,0,52.0,1,0,1,0,0
37,0,21.0,0,0,8.05,1,0,1,0,1
38,0,18.0,2,0,18.0,0,0,1,0,1
39,1,14.0,1,0,11.2417,0,0,0,0,1
40,0,40.0,1,0,9.475,0,0,1,0,1
41,0,27.0,1,0,21.0,0,0,1,1,0
43,1,3.0,1,2,41.5792,0,0,0,1,0
44,1,19.0,0,0,7.8792,0,1,0,0,1
49,0,18.0,1,0,17.8,0,0,1,0,1
50,0,7.0,4,1,39.6875,1,0,1,0,1
51,0,21.0,0,0,7.8,1,0,1,0,1
52,1,49.0,1,0,76.7292,0,0,0,0,0
53,1,29.0,1,0,26.0,0,0,1,1,0
54,0,65.0,0,1,61.9792,1,0,0,0,0
56,1,21.0,0,0,10.5,0,0,1,1,0
57,0,28.5,0,0,7.2292,1,0,0,0,1
58,1,5.0,1,2,27.75,0,0,1,1,0
59,0,11.0,5,2,46.9,1,0,1,0,1
60,0,22.0,0,0,7.2292,1,0,0,0,1
62,0,45.0,1,0,83.475,1,0,1,0,0
63,0,4.0,3,2,27.9,1,0,1,0,1
66,1,29.0,0,0,10.5,0,0,1,1,0
67,0,19.0,0,0,8.1583,1,0,1,0,1
68,1,17.0,4,2,7.925,0,0,1,0,1
69,0,26.0,2,0,8.6625,1,0,1,0,1
70,0,32.0,0,0,10.5,1,0,1,1,0
71,0,16.0,5,2,46.9,0,0,1,0,1
72,0,21.0,0,0,73.5,1,0,1,1,0
73,0,26.0,1,0,14.4542,1,0,0,0,1
74,1,32.0,0,0,56.4958,1,0,1,0,1
75,0,25.0,0,0,7.65,1,0,1,0,1
78,1,0.83,0,2,29.0,1,0,1,1,0
79,1,30.0,0,0,12.475,0,0,1,0,1
80,0,22.0,0,0,9.0,1,0,1,0,1
81,1,29.0,0,0,9.5,1,0,1,0,1
83,0,28.0,0,0,47.1,1,0,1,0,0
84,1,17.0,0,0,10.5,0,0,1,1,0
85,1,33.0,3,0,15.85,0,0,1,0,1
86,0,16.0,1,3,34.375,1,0,1,0,1
88,1,23.0,3,2,263.0,0,0,1,0,0
89,0,24.0,0,0,8.05,1,0,1,0,1
90,0,29.0,0,0,8.05,1,0,1,0,1
91,0,20.0,0,0,7.8542,1,0,1,0,1
92,0,46.0,1,0,61.175,1,0,1,0,0
93,0,26.0,1,2,20.575,1,0,1,0,1
94,0,59.0,0,0,7.25,1,0,1,0,1
96,0,71.0,0,0,34.6542,1,0,0,0,0
97,1,23.0,0,1,63.3583,1,0,0,0,0
98,1,34.0,0,1,23.0,0,0,1,1,0
99,0,34.0,1,0,26.0,1,0,1,1,0
100,0,28.0,0,0,7.8958,0,0,1,0,1
102,0,21.0,0,1,77.2875,1,0,1,0,0
103,0,33.0,0,0,8.6542,1,0,1,0,1
104,0,37.0,2,0,7.925,1,0,1,0,1
105,0,28.0,0,0,7.8958,1,0,1,0,1
106,1,21.0,0,0,7.65,0,0,1,0,1
108,0,38.0,0,0,7.8958,1,0,1,0,1
110,0,47.0,0,0,52.0,1,0,1,0,0
111,0,14.5,1,0,14.4542,0,0,0,0,1
112,0,22.0,0,0,8.05,1,0,1,0,1
113,0,20.0,1,0,9.825,0,0,1,0,1
114,0,17.0,0,0,14.4583,0,0,0,0,1
115,0,21.0,0,0,7.925,1,0,1,0,1
116,0,70.5,0,0,7.75,1,1,0,0,1
117,0,29.0,1,0,21.0,1,0,1,1,0
118,0,24.0,0,1,247.5208,1,0,0,0,0
119,0,2.0,4,2,31.275,0,0,1,0,1
120,0,21.0,2,0,73.5,1,0,1,1,0
122,0,32.5,1,0,30.0708,1,0,0,1,0
123,1,32.5,0,0,13.0,0,0,1,1,0
124,0,54.0,0,1,77.2875,1,0,1,0,0
125,1,12.0,1,0,11.2417,1,0,0,0,1
127,1,24.0,0,0,7.1417,1,0,1,0,1
129,0,45.0,0,0,6.975,1,0,1,0,1
130,0,33.0,0,0,7.8958,1,0,0,0,1
131,0,20.0,0,0,7.05,1,0,1,0,1
132,0,47.0,1,0,14.5,0,0,1,0,1
133,1,29.0,1,0,26.0,0,0,1,1,0
134,0,25.0,0,0,13.0,1,0,1,1,0
135,0,23.0,0,0,15.0458,1,0,0,1,0
136,1,19.0,0,2,26.2833,0,0,1,0,0
137,0,37.0,1,0,53.1,1,0,1,0,0
138,0,16.0,0,0,9.2167,1,0,1,0,1
139,0,24.0,0,0,79.2,1,0,0,0,0
141,1,22.0,0,0,7.75,0,0,1,0,1
142,1,24.0,1,0,15.85,0,0,1,0,1
143,0,19.0,0,0,6.75,1,1,0,0,1
144,0,18.0,0,0,11.5,1,0,1,1,0
145,0,19.0,1,1,36.75,1,0,1,1,0
146,1,27.0,0,0,7.7958,1,0,1,0,1
147,0,9.0,2,2,34.375,0,0,1,0,1
148,0,36.5,0,2,26.0,1,0,1,1,0
149,0,42.0,0,0,13.0,1,0,1,1,0
150,0,51.0,0,0,12.525,1,0,1,1,0
151,1,22.0,1,0,66.6,0,0,1,0,0
152,0,55.5,0,0,8.05,1,0,1,0,1
153,0,40.5,0,2,14.5,1,0,1,0,1
155,0,51.0,0,1,61.3792,1,0,0,0,0
156,1,16.0,0,0,7.7333,0,1,0,0,1
157,0,30.0,0,0,8.05,1,0,1,0,1
160,0,44.0,0,1,16.1,1,0,1,0,1
161,1,40.0,0,0,15.75,0,0,1,1,0
162,0,26.0,0,0,7.775,1,0,1,0,1
163,0,17.0,0,0,8.6625,1,0,1,0,1
164,0,1.0,4,1,39.6875,1,0,1,0,1
165,1,9.0,0,2,20.525,1,0,1,0,1
167,0,45.0,1,4,27.9,0,0,1,0,1
169,0,28.0,0,0,56.4958,1,0,1,0,1
170,0,61.0,0,0,33.5,1,0,1,0,0
171,0,4.0,4,1,29.125,1,1,0,0,1
172,1,1.0,1,1,11.1333,0,0,1,0,1
173,0,21.0,0,0,7.925,1,0,1,0,1
174,0,56.0,0,0,30.6958,1,0,0,0,0
175,0,18.0,1,1,7.8542,1,0,1,0,1
177,0,50.0,0,0,28.7125,0,0,0,0,0
178,0,30.0,0,0,13.0,1,0,1,1,0
179,0,36.0,0,0,0.0,1,0,1,0,1
182,0,9.0,4,2,31.3875,1,0,1,0,1
183,1,1.0,2,1,39.0,1,0,1,1,0
184,1,4.0,0,2,22.025,0,0,1,0,1
187,1,45.0,0,0,26.55,1,0,1,0,0
188,0,40.0,1,1,15.5,1,1,0,0,1
189,0,36.0,0,0,7.8958,1,0,1,0,1
190,1,32.0,0,0,13.0,0,0,1,1,0
191,0,19.0,0,0,13.0,1,0,1,1,0
192,1,19.0,1,0,7.8542,0,0,1,0,1
193,1,3.0,1,1,26.0,1,0,1,1,0
194,1,44.0,0,0,27.7208,0,0,0,0,0
195,1,58.0,0,0,146.5208,0,0,0,0,0
197,0,42.0,0,1,8.4042,1,0,1,0,1
199,0,24.0,0,0,13.0,0,0,1,1,0
200,0,28.0,0,0,9.5,1,0,1,0,1
202,0,34.0,0,0,6.4958,1,0,1,0,1
203,0,45.5,0,0,7.225,1,0,0,0,1
204,1,18.0,0,0,8.05,1,0,1,0,1
205,0,2.0,0,1,10.4625,0,0,1,0,1
206,0,32.0,1,0,15.85,1,0,1,0,1
207,1,26.0,0,0,18.7875,1,0,0,0,1
208,1,16.0,0,0,7.75,0,1,0,0,1
209,1,40.0,0,0,31.0,1,0,0,0,0
210,0,24.0,0,0,7.05,1,0,1,0,1
211,1,35.0,0,0,21.0,0,0,1,1,0
212,0,22.0,0,0,7.25,1,0,1,0,1
213,0,30.0,0,0,13.0,1,0,1,1,0
215,1,31.0,1,0,113.275,0,0,0,0,0
216,1,27.0,0,0,7.925,0,0,1,0,1
217,0,42.0,1,0,27.0,1,0,1,1,0
218,1,32.0,0,0,76.2917,0,0,0,0,0
219,0,30.0,0,0,10.5,1,0,1,1,0
220,1,16.0,0,0,8.05,1,0,1,0,1
221,0,27.0,0,0,13.0,1,0,1,1,0
222,0,51.0,0,0,8.05,1,0,1,0,1
224,1,38.0,1,0,90.0,1,0,1,0,0
225,0,22.0,0,0,9.35,1,0,1,0,1
226,1,19.0,0,0,10.5,1,0,1,1,0
227,0,20.5,0,0,7.25,1,0,1,0,1
228,0,18.0,0,0,13.0,1,0,1,1,0
230,1,35.0,1,0,83.475,0,0,1,0,0
231,0,29.0,0,0,7.775,1,0,1,0,1
232,0,59.0,0,0,13.5,1,0,1,1,0
233,1,5.0,4,2,31.3875,0,0,1,0,1
234,0,24.0,0,0,10.5,1,0,1,1,0
236,0,44.0,1,0,26.0,1,0,1,1,0
237,1,8.0,0,2,26.25,0,0,1,1,0
238,0,19.0,0,0,10.5,1,0,1,1,0
239,0,33.0,0,0,12.275,1,0,1,1,0
242,0,29.0,0,0,10.5,1,0,1,1,0
243,0,22.0,0,0,7.125,1,0,1,0,1
244,0,30.0,0,0,7.225,1,0,0,0,1
245,0,44.0,2,0,90.0,1,1,0,0,0
246,0,25.0,0,0,7.775,0,0,1,0,1
247,1,24.0,0,2,14.5,0,0,1,1,0
248,1,37.0,1,1,52.5542,1,0,1,0,0
249,0,54.0,1,0,26.0,1,0,1,1,0
251,0,29.0,1,1,10.4625,0,0,1,0,1
252,0,62.0,0,0,26.55,1,0,1,0,0
253,0,30.0,1,0,16.1,1,0,1,0,1
254,0,41.0,0,2,20.2125,0,0,1,0,1
255,1,29.0,0,2,15.2458,0,0,0,0,1
257,1,30.0,0,0,86.5,0,0,1,0,0
258,1,35.0,0,0,512.3292,0,0,0,0,0
259,1,50.0,0,1,26.0,0,0,1,1,0
261,1,3.0,4,2,31.3875,1,0,1,0,1
262,0,52.0,1,1,79.65,1,0,1,0,0
263,0,40.0,0,0,0.0,1,0,1,0,0
265,0,36.0,0,0,10.5,1,0,1,1,0
266,0,16.0,4,1,39.6875,1,0,1,0,1
267,1,25.0,1,0,7.775,1,0,1,0,1
268,1,58.0,0,1,153.4625,0,0,1,0,0
269,1,35.0,0,0,135.6333,0,0,1,0,0
271,1,25.0,0,0,0.0,1,0,1,0,1
272,1,41.0,0,1,19.5,0,0,1,1,0
273,0,37.0,0,1,29.7,1,0,0,0,0
275,1,63.0,1,0,77.9583,0,0,1,0,0
276,0,45.0,0,0,7.75,0,0,1,0,1
278,0,7.0,4,1,29.125,1,1,0,0,1
279,1,35.0,1,1,20.25,0,0,1,0,1
280,0,65.0,0,0,7.75,1,1,0,0,1
281,0,28.0,0,0,7.8542,1,0,1,0,1
282,0,16.0,0,0,9.5,1,0,1,0,1
283,1,19.0,0,0,8.05,1,0,1,0,1
285,0,33.0,0,0,8.6625,1,0,0,0,1
286,1,30.0,0,0,9.5,1,0,1,0,1
287,0,22.0,0,0,7.8958,1,0,1,0,1
288,1,42.0,0,0,13.0,1,0,1,1,0
289,1,22.0,0,0,7.75,0,1,0,0,1
290,1,26.0,0,0,78.85,0,0,1,0,0
291,1,19.0,1,0,91.0792,0,0,0,0,0
292,0,36.0,0,0,12.875,1,0,0,1,0
293,0,24.0,0,0,8.85,0,0,1,0,1
294,0,24.0,0,0,7.8958,1,0,1,0,1
296,0,23.5,0,0,7.2292,1,0,0,0,1
297,0,2.0,1,2,151.55,0,0,1,0,0
299,1,50.0,0,1,247.5208,0,0,0,0,0
302,0,19.0,0,0,0.0,1,0,1,0,1
305,1,0.92,1,2,151.55,1,0,1,0,0
307,1,17.0,1,0,108.9,0,0,0,0,0
308,0,30.0,1,0,24.0,1,0,0,1,0
309,1,30.0,0,0,56.9292,0,0,0,0,0
310,1,24.0,0,0,83.1583,0,0,0,0,0
311,1,18.0,2,2,262.375,0,0,0,0,0
312,0,26.0,1,1,26.0,0,0,1,1,0
313,0,28.0,0,0,7.8958,1,0,1,0,1
314,0,43.0,1,1,26.25,1,0,1,1,0
315,1,26.0,0,0,7.8542,0,0,1,0,1
316,1,24.0,1,0,26.0,0,0,1,1,0
317,0,54.0,0,0,14.0,1,0,1,1,0
318,1,31.0,0,2,164.8667,0,0,1,0,0
319,1,40.0,1,1,134.5,0,0,0,0,0
320,0,22.0,0,0,7.25,1,0,1,0,1
321,0,27.0,0,0,7.8958,1,0,1,0,1
322,1,30.0,0,0,12.35,0,1,0,1,0
323,1,22.0,1,1,29.0,0,0,1,1,0
325,1,36.0,0,0,135.6333,0,0,0,0,0
326,0,61.0,0,0,6.2375,1,0,1,0,1
327,1,36.0,0,0,13.0,0,0,1,1,0
328,1,31.0,1,1,20.525,0,0,1,0,1
329,1,16.0,0,1,57.9792,0,0,0,0,0
331,0,45.5,0,0,28.5,1,0,1,0,0
332,0,38.0,0,1,153.4625,1,0,1,0,0
333,0,16.0,2,0,18.0,1,0,1,0,1
336,0,29.0,1,0,66.6,1,0,1,0,0
337,1,41.0,0,0,134.5,0,0,0,0,0
338,1,45.0,0,0,8.05,1,0,1,0,1
339,0,45.0,0,0,35.5,1,0,1,0,0
340,1,2.0,1,1,26.0,1,0,1,1,0
341,1,24.0,3,2,263.0,0,0,1,0,0
342,0,28.0,0,0,13.0,1,0,1,1,0
343,0,25.0,0,0,13.0,1,0,1,1,0
344,0,36.0,0,0,13.0,1,0,1,1,0
345,1,24.0,0,0,13.0,0,0,1,1,0
346,1,40.0,0,0,13.0,0,0,1,1,0
348,1,3.0,1,1,15.9,1,0,1,0,1
349,0,42.0,0,0,8.6625,1,0,1,0,1
350,0,23.0,0,0,9.225,1,0,1,0,1
352,0,15.0,1,1,7.2292,1,0,0,0,1
353,0,25.0,1,0,17.8,1,0,1,0,1
355,0,28.0,0,0,9.5,1,0,1,0,1
356,1,22.0,0,1,55.0,0,0,1,0,0
357,0,38.0,0,0,13.0,0,0,1,1,0
360,0,40.0,1,4,27.9,1,0,1,0,1
361,0,29.0,1,0,27.7208,1,0,0,1,0
362,0,45.0,0,1,14.4542,0,0,0,0,1
363,0,35.0,0,0,7.05,1,0,1,0,1
365,0,30.0,0,0,7.25,1,0,1,0,1
366,1,60.0,1,0,75.25,0,0,0,0,0
369,1,24.0,0,0,69.3,0,0,0,0,0
370,1,25.0,1,0,55.4417,1,0,0,0,0
371,0,18.0,1,0,6.4958,1,0,1,0,1
372,0,19.0,0,0,8.05,1,0,1,0,1
373,0,22.0,0,0,135.6333,1,0,0,0,0
374,0,3.0,3,1,21.075,0,0,1,0,1
376,1,22.0,0,0,7.25,0,0,1,0,1
377,0,27.0,0,2,211.5,1,0,0,0,0
378,0,20.0,0,0,4.0125,1,0,0,0,1
379,0,19.0,0,0,7.775,1,0,1,0,1
380,1,42.0,0,0,227.525,0,0,0,0,0
381,1,1.0,0,2,15.7417,0,0,0,0,1
382,0,32.0,0,0,7.925,1,0,1,0,1
383,1,35.0,1,0,52.0,0,0,1,0,0
385,0,18.0,0,0,73.5,1,0,1,1,0
386,0,1.0,5,2,46.9,1,0,1,0,1
387,1,36.0,0,0,13.0,0,0,1,1,0
389,1,17.0,0,0,12.0,0,0,0,1,0
390,1,36.0,1,2,120.0,1,0,1,0,0
391,1,21.0,0,0,7.7958,1,0,1,0,1
392,0,28.0,2,0,7.925,1,0,1,0,1
393,1,23.0,1,0,113.275,0,0,0,0,0
394,1,24.0,0,2,16.7,0,0,1,0,1
395,0,22.0,0,0,7.7958,1,0,1,0,1
396,0,31.0,0,0,7.8542,0,0,1,0,1
397,0,46.0,0,0,26.0,1,0,1,1,0
398,0,23.0,0,0,10.5,1,0,1,1,0
399,1,28.0,0,0,12.65,0,0,1,1,0
400,1,39.0,0,0,7.925,1,0,1,0,1
401,0,26.0,0,0,8.05,1,0,1,0,1
402,0,21.0,1,0,9.825,0,0,1,0,1
403,0,28.0,1,0,15.85,1,0,1,0,1
404,0,20.0,0,0,8.6625,0,0,1,0,1
405,0,34.0,1,0,21.0,1,0,1,1,0
406,0,51.0,0,0,7.75,1,0,1,0,1
407,1,3.0,1,1,18.75,1,0,1,1,0
408,0,21.0,0,0,7.775,1,0,1,0,1
412,1,33.0,1,0,90.0,0,1,0,0,0
414,1,44.0,0,0,7.925,1,0,1,0,1
416,1,34.0,1,1,32.5,0,0,1,1,0
417,1,18.0,0,2,13.0,0,0,1,1,0
418,0,30.0,0,0,13.0,1,0,1,1,0
419,0,10.0,0,2,24.15,0,0,1,0,1
421,0,21.0,0,0,7.7333,1,1,0,0,1
422,0,29.0,0,0,7.875,1,0,1,0,1
423,0,28.0,1,1,14.4,0,0,1,0,1
424,0,18.0,1,1,20.2125,1,0,1,0,1
426,1,28.0,1,0,26.0,0,0,1,1,0
427,1,19.0,0,0,26.0,0,0,1,1,0
429,1,32.0,0,0,8.05,1,0,1,0,1
430,1,28.0,0,0,26.55,1,0,1,0,0
432,1,42.0,1,0,26.0,0,0,1,1,0
433,0,17.0,0,0,7.125,1,0,1,0,1
434,0,50.0,1,0,55.9,1,0,1,0,0
435,1,14.0,1,2,120.0,0,0,1,0,0
436,0,21.0,2,2,34.375,0,0,1,0,1
437,1,24.0,2,3,18.75,0,0,1,1,0
438,0,64.0,1,4,263.0,1,0,1,0,0
439,0,31.0,0,0,10.5,1,0,1,1,0
440,1,45.0,1,1,26.25,0,0,1,1,0
441,0,20.0,0,0,9.5,1,0,1,0,1
442,0,25.0,1,0,7.775,1,0,1,0,1
443,1,28.0,0,0,13.0,0,0,1,1,0
